PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S)
"Reactive arthropathies, FINNGEN",C-reactive protein measurement,Medium,EFO_0004458
"Reactive arthropathies, FINNGEN",reactive arthritis,Medium,EFO_0007460
"Chrystal arthropathies, rheuma endpoint",alive at endpoint,Good,EFO_0004951
Finngen Rheumatological endpoints,N/A,Did not map,N/A
Other/unspecified rheumatoid arthritis,rheumatoid arthritis,Medium,EFO_0000685
Other/unspecified rheumatoid arthritis,ACPA-negative rheumatoid arthritis,Medium,EFO_0009460
"Other (seronegative) rheumatoid arthritis, wide",rheumatoid arthritis,Medium,EFO_0000685
"Other (seronegative) rheumatoid arthritis, wide",ACPA-negative rheumatoid arthritis,Medium,EFO_0009460
Seronegative rheumatoid arthritis,rheumatoid arthritis,Medium,EFO_0000685
Seronegative rheumatoid arthritis,ACPA-negative rheumatoid arthritis,Medium,EFO_0009460
Seropositive rheumatoid arthritis,juvenile idiopathic arthritis,Medium,EFO_0002609
Seropositive rheumatoid arthritis,rheumatoid arthritis,Medium,EFO_0000685
Other/unspecified seropositiverheumatoid arthritis,unspecified juvenile idiopathic arthritis,Medium,EFO_0009734
Other/unspecified seropositiverheumatoid arthritis,arthritis,Medium,EFO_0005856
"Seropositive rheumatoid arthritis, strict definition",juvenile idiopathic arthritis,Medium,EFO_0002609
"Seropositive rheumatoid arthritis, strict definition",rheumatoid arthritis,Medium,EFO_0000685
"Seropositive rheumatoid arthritis, wide",juvenile idiopathic arthritis,Medium,EFO_0002609
"Seropositive rheumatoid arthritis, wide",rheumatoid arthritis,Medium,EFO_0000685
Other arthritis (FG),arthritis,Good,EFO_0005856
Vasomotor rhinitis (mode),vasomotor rhinitis,Medium,EFO_0007533
Vasomotor rhinitis (mode),rhinitis,Medium,EFO_0008521
Statin medication,medication adherence behavior,Good,EFO_0006344
Other secondary coxarthrosis,cardiomyopathy,Good,EFO_0000318
Other secondary gonarthrosis,cardiomyopathy,Good,EFO_0000318
Pneumonia derived septichemia,pneumonia,Medium,EFO_0003106
Pneumonia derived septichemia,viral pneumonia,Medium,EFO_0007541
Small fibre neuropathy,Sodium channelopathy-related small fiber neuropathy,Medium,Orphanet_306577
Small fibre neuropathy,Deafness -  small bowel diverticulosis - neuropathy,Medium,Orphanet_3217
Sleep disorders (combined),Sleep Disorder,Good,EFO_0008568
SLE (Finngen),lupus nephritis,Good,EFO_0005761
"Systemic lupus erythematosus, unspecified",systemic lupus erythematosus,Medium,EFO_0002690
"Systemic lupus erythematosus, unspecified",neonatal systemic lupus erythematosus,Medium,EFO_0004537
Smoking,smoking behavior,Medium,EFO_0004318
Smoking,nicotine dependence,Medium,EFO_0003768
Smoking dependancy,smoking behavior,Medium,EFO_0004318
Smoking dependancy,smoking initiation,Medium,EFO_0005670
Spondyloarthritis,spondyloarthropathy,Good,EFO_0000706
Spondylopathies (FG),femtogram,Medium,UO_0000026
Spondylopathies (FG),inflammatory spondylopathy,Medium,MONDO_0001434
"Adverse effects, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Adverse effects, not elsewhere classified",cardiomyopathy,Medium,EFO_0000318
!Aliquae complicationes praecoces traumatis,N/A,Did not map,N/A
Burns and corrosions,N/A,Did not map,N/A
Burns and corrosions confined to eye and internal organs,N/A,Did not map,N/A
"Burns and corrosions of external body surface, specified by site",N/A,Did not map,N/A
Burns and corrosions of multiple and unspecified body regions,N/A,Did not map,N/A
Burn and corrosion of ankle and foot,N/A,Did not map,N/A
Burn and corrosion confined to eye and adnexa,N/A,Did not map,N/A
Burn and corrosion of head and neck,N/A,Did not map,N/A
"Burn and corrosion of hip and lower limb, except ankle and foot",N/A,Did not map,N/A
"Burn and corrosion of shoulder and upper limb, except wrist and hand",N/A,Did not map,N/A
Burn and corrosion of trunk,N/A,Did not map,N/A
Burn and corrosion of wrist and hand,N/A,Did not map,N/A
"Complications of cardiac and vascular prosthetic devices, implants and grafts",N/A,Did not map,N/A
"Complications following infusion, transfusion and therapeutic injection",N/A,Did not map,N/A
"Complications of genitourinary prosthetic devices, implants and grafts",N/A,Did not map,N/A
"Complications of internal orthopaedic prosthetic devices, implants and grafts",N/A,Did not map,N/A
"Complications of other internal prosthetic devices, implants and grafts",N/A,Did not map,N/A
"Complications of procedures, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Complications of procedures, not elsewhere classified",cardiovascular disease,Medium,EFO_0000319
"Complications of surgical and medical care, not elsewhere classified",medical procedure,Good,EFO_0002571
Concussion,post-concussion syndrome,Good,EFO_1001827
Contusion of ankle,Hemarthrosis,Good,EFO_1001344
Contusion of other and unspecified parts of foot,cutaneous melanoma,Medium,EFO_0000389
Contusion of other and unspecified parts of foot,schizophrenia,Medium,EFO_0000692
Contusion of toe(s) without damage to nail,petaloid toenail,Good,EFO_0007879
Crushing injury of wrist and hand,N/A,Did not map,N/A
Diffuse brain injury,vascular brain injury,Good,EFO_0006791
"Dislocation, sprain and strain of joints and ligaments at ankle and foot level",N/A,Did not map,N/A
"Dislocation, sprain and strain of joints and ligaments of elbow",N/A,Did not map,N/A
"Dislocation, sprain and strain of joints and ligaments of head",N/A,Did not map,N/A
"Dislocation, sprain and strain of joints and ligaments of knee",N/A,Did not map,N/A
"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis",N/A,Did not map,N/A
"Dislocation, sprain and strain of joints and ligaments at neck level",N/A,Did not map,N/A
"Dislocation, sprain and strain of joints and ligaments of shoulder girdle",N/A,Did not map,N/A
"Dislocation, sprain and strain of joints and ligaments of thorax",N/A,Did not map,N/A
"Dislocation, sprain and strain of joints and ligaments at wrist and hand level",N/A,Did not map,N/A
"Dislocation, sprain and strain of joint and ligaments of hip",N/A,Did not map,N/A
Early complications of trauma,trauma complication,Good,EFO_0009888
Effects of foreign body entering through natural orifice,foreign body in gastrointestinal tract,Medium,EFO_0009526
Effects of foreign body entering through natural orifice,foreign body,Medium,EFO_0009525
Effects of other external causes,respiratory system disease,Good,EFO_0000684
Epidural haemorrhage,epidural neoplasm,Medium,EFO_1000923
Epidural haemorrhage,epidural abscess,Medium,EFO_0007260
Focal brain injury,vascular brain injury,Good,EFO_0006791
Foreign body in alimentary tract,foreign body in gastrointestinal tract,Good,EFO_0009526
Foreign body in ear,foreign body in gastrointestinal tract,Medium,EFO_0009526
Foreign body in ear,foreign body,Medium,EFO_0009525
Foreign body on external eye,foreign body,Medium,EFO_0009525
Foreign body on external eye,Eye Foreign Bodies,Medium,EFO_1001322
Foreign body in respiratory tract,foreign body in gastrointestinal tract,Medium,EFO_0009526
Foreign body in respiratory tract,foreign body,Medium,EFO_0009525
Fracture of femur,femur fracture,Good,EFO_0008553
"Fracture of foot, except ankle",ankle fracture,Medium,EFO_0009615
"Fracture of foot, except ankle",foot fracture,Medium,EFO_0009618
Fracture of forearm,femur fracture,Medium,EFO_0008553
Fracture of forearm,Monteggia's fracture,Medium,EFO_1001811
"Fracture of lower leg, including ankle",lower extremity fracture,Medium,EFO_0009512
"Fracture of lower leg, including ankle",ankle fracture,Medium,EFO_0009615
Fracture of lumbar spine and pelvis,N/A,Did not map,N/A
Fracture of neck,femoral neck fracture,Medium,EFO_1001792
Fracture of neck,femur fracture,Medium,EFO_0008553
"Fracture of rib(s), sternum and thoracic spine",N/A,Did not map,N/A
Fracture of shoulder and upper arm,osteomyelitis,Good,EFO_0003102
Fracture of skull and facial bones,N/A,Did not map,N/A
Fracture at wrist and hand level,N/A,Did not map,N/A
Frostbite,frostbite,Good,EFO_0009527
Hypothermia,Hypothermia,Good,HP_0002045
Other and unspecified intracranial injuries,anthrax infection,Medium,EFO_0000778
Other and unspecified intracranial injuries,schizophrenia,Medium,EFO_0000692
"Injuries to the abdomen, lower back, lumbar spine and pelvis",N/A,Did not map,N/A
Injuries to the ankle and foot,Hemarthrosis,Medium,EFO_1001344
Injuries to the ankle and foot,osteomyelitis,Medium,EFO_0003102
Injuries to the elbow and forearm,N/A,Did not map,N/A
Injuries to the head,Abnormality of the head,Medium,HP_0000234
Injuries to the head,head and neck carcinoma,Medium,MONDO_0002038
Injuries to the hip and thigh,N/A,Did not map,N/A
Injuries involving multiple body regions,multiple bone fractures,Medium,EFO_0009513
Injuries involving multiple body regions,undisturbed flow regions,Medium,EFO_0002749
Injuries to the knee and lower leg,N/A,Did not map,N/A
Injuries to the neck,Abnormality of the neck,Medium,HP_0000464
Injuries to the neck,neoplasm of neck,Medium,MONDO_0021351
Injuries to the shoulder and upper arm,osteomyelitis,Good,EFO_0003102
Injuries to the thorax,Asymmetry of the thorax,Medium,HP_0001555
Injuries to the thorax,Abnormal thorax morphology,Medium,HP_0000765
"Injuries to unspecified part of trunk, limb or body region",pelvic region of trunk,Medium,UBERON_0002355
"Injuries to unspecified part of trunk, limb or body region",trunk,Medium,UBERON_0002100
Injuries to the wrist and hand,N/A,Did not map,N/A
Injury of eye and orbit,parasitic infection,Good,EFO_0001067
Injury of intra-abdominal organs,abdominal injury,Good,EFO_0009502
Injury of muscle and tendon at ankle and foot level,N/A,Did not map,N/A
Injury of muscle and tendon at forearm level,Tendon rupture,Good,HP_0100550
Injury of muscle and tendon at hip and thigh level,N/A,Did not map,N/A
Injury of muscle and tendon at lower leg level,Tendon rupture,Good,HP_0100550
Injury of muscle and tendon at shoulder and upper arm level,N/A,Did not map,N/A
Injury of muscle and tendon at wrist and hand level,N/A,Did not map,N/A
Injury of nerves at forearm level,brain injury,Medium,MONDO_0043510
Injury of nerves at forearm level,spinal injury,Medium,MONDO_0037747
Injury of nerves at lower leg level,leg injury,Good,EFO_0009508
Injury of nerves and spinal cord at neck level,tumour of cranial and spinal nerves,Good,EFO_0002431
Injury of nerves at wrist and hand level,N/A,Did not map,N/A
Injury of other and unspecified intrathoracic organs,anthrax infection,Medium,EFO_0000778
Injury of other and unspecified intrathoracic organs,schizophrenia,Medium,EFO_0000692
Injury of unspecified body region,pineal body neoplasm,Medium,MONDO_0021232
Injury of unspecified body region,brain injury,Medium,MONDO_0043510
Injury of urinary and pelvic organs,N/A,Did not map,N/A
Intracranial trauma,intracranial hypotension,Medium,EFO_1000993
Intracranial trauma,trauma exposure measurement,Medium,EFO_0010703
Intracranial injury,intracranial vasospasm,Medium,EFO_1000994
Intracranial injury,intracranial hypotension,Medium,EFO_1000993
Maltreatment syndromes,Congenital myasthenic syndrome,Medium,Orphanet_590
Maltreatment syndromes,Presynaptic congenital myasthenic syndromes,Medium,Orphanet_98914
"Open wound of abdomen, lower back and pelvis",N/A,Did not map,N/A
Open wound of ankle and foot,Hemarthrosis,Medium,EFO_1001344
Open wound of ankle and foot,osteomyelitis,Medium,EFO_0003102
Open wound of forearm,agoraphobia,Good,EFO_1001872
Open wound of head,agoraphobia,Good,EFO_1001872
Open wound of hip and thigh,N/A,Did not map,N/A
Open wound of lower leg,Abnormality of the lower limb,Medium,HP_0002814
Open wound of lower leg,Congenital absence of thigh and lower leg with foot present,Medium,Orphanet_294977
Open wound of shoulder and upper arm,osteomyelitis,Good,EFO_0003102
Open wound of thorax,thoracic segment of trunk,Medium,UBERON_0000915
Open wound of thorax,Abnormal thorax morphology,Medium,HP_0000765
Open wound of wrist and hand,N/A,Did not map,N/A
"Other complications of surgical and medical care, not elsewhere classified",medical procedure,Good,EFO_0002571
Other and specified injuries of hip and thigh,N/A,Did not map,N/A
Other and unspecified effects of external causes,respiratory system disease,Medium,EFO_0000684
Other and unspecified effects of external causes,cutaneous melanoma,Medium,EFO_0000389
"Other and unspecified injuries of abdomen, lower back and pelvis",N/A,Did not map,N/A
Other and unspecified injuries of ankle and foot,N/A,Did not map,N/A
Other and unspecified injuries of head,schizophrenia,Medium,EFO_0000692
Other and unspecified injuries of head,anthrax infection,Medium,EFO_0000778
Other and unspecified injuries of lower leg,cutaneous melanoma,Medium,EFO_0000389
Other and unspecified injuries of lower leg,lip cancer,Medium,EFO_1001019
Other and unspecified injuries of shoulder and upper arm,N/A,Did not map,N/A
Other and unspecified injuries of thorax,anthrax infection,Medium,EFO_0000778
Other and unspecified injuries of thorax,schizophrenia,Medium,EFO_0000692
Other and unspecified injuries of wrist and hand,N/A,Did not map,N/A
"Poisoning by drugs, medicaments and biological substances",N/A,Did not map,N/A
Poisoning by medicine,poisoning,Medium,EFO_0008546
Poisoning by medicine,organophosphate poisoning,Medium,EFO_0010581
Poisoning by narcotics and psychodysleptics [hallucinogens],poisoning,Medium,EFO_0008546
Poisoning by narcotics and psychodysleptics [hallucinogens],organophosphate poisoning,Medium,EFO_0010581
