	term	label	source	quality	action
Fracture of lower leg, including ankle	http://www.ebi.ac.uk/efo/EFO_0009512	"""Fracture of lower leg, including ankle"""	Zooma API lookup	match	
Fracture of lumbar spine and pelvis	http://www.ebi.ac.uk/efo/EFO_0003902	Fracture of lumbar spine and pelvis	Zooma API lookup	match	
Fracture of neck	http://www.ebi.ac.uk/efo/EFO_0003902	Fracture of neck	Zooma API lookup	match	
Fracture of rib(s), sternum and thoracic spine	http://purl.obolibrary.org/obo/HP_0000765	Abnormal thorax morphology	OLS API EFO lookup	fuzzy	check if valid
Fracture of shoulder and upper arm	http://www.ebi.ac.uk/efo/EFO_0003931	Fracture of shoulder and upper arm	Zooma API lookup	match	
Fracture of skull and facial bones	http://www.ebi.ac.uk/efo/EFO_1001425	Fracture of skull and facial bones	Zooma API lookup	match	
Fracture at wrist and hand level	http://www.ebi.ac.uk/efo/EFO_0009515	Fracture at wrist and hand level	Zooma API lookup	match	
Frostbite	http://www.ebi.ac.uk/efo/EFO_0009527	frostbite	EFO OBO	match	
Hypothermia	http://purl.obolibrary.org/obo/HP_0005970	hypothermia	OT Zooma Mappings	match	
Other and unspecified intracranial injuries	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Injuries to the abdomen, lower back, lumbar spine and pelvis	http://www.orpha.net/ORDO/Orphanet_322	Exstrophy-epispadias complex	OLS API EFO lookup	fuzzy	check if valid
Injuries to the ankle and foot	http://www.ebi.ac.uk/efo/EFO_0009615	ankle fracture	OLS API EFO lookup	fuzzy	check if valid
Injuries to the elbow and forearm					
Injuries to the head	http://www.ebi.ac.uk/efo/EFO_0009505	head injury	OLS API EFO lookup	fuzzy	check if valid
Injuries to the hip and thigh					
Injuries involving multiple body regions	http://www.ebi.ac.uk/efo/EFO_0009513	multiple bone fractures	OLS API EFO lookup	fuzzy	check if valid
Injuries to the knee and lower leg					
Injuries to the neck					
Injuries to the shoulder and upper arm					
Injuries to the thorax					
Injuries to unspecified part of trunk, limb or body region					
Injuries to the wrist and hand	http://purl.obolibrary.org/obo/HP_0009487	Ulnar deviation of the hand	OLS API EFO lookup	fuzzy	check if valid
Injury of blood vessels at wrist and hand level	http://purl.obolibrary.org/obo/HP_0009487	Ulnar deviation of the hand	OLS API EFO lookup	fuzzy	check if valid
Injury of cranial nerves	http://www.ebi.ac.uk/efo/EFO_0002431	tumour of cranial and spinal nerves	OLS API EFO lookup	fuzzy	check if valid
Injury of eye and orbit	http://www.ebi.ac.uk/efo/EFO_0009485	Injury of eye and orbit	Zooma API lookup	match	
Injury of intra-abdominal organs	http://www.ebi.ac.uk/efo/EFO_0009502	Injury of intra abdominal organs	Zooma API lookup	match	
Injury of muscle and tendon at ankle and foot level					
Injury of muscle and tendon at forearm level	http://purl.obolibrary.org/obo/HP_0100550	Tendon rupture	OLS API EFO lookup	fuzzy	check if valid
Injury of muscle and tendon at hip and thigh level	http://www.ebi.ac.uk/efo/EFO_0009508	Injury of muscle and tendon at hip and thigh level	Zooma API lookup	match	
Injury of muscle and tendon at lower leg level	http://purl.obolibrary.org/obo/HP_0100550	Tendon rupture	OLS API EFO lookup	fuzzy	check if valid
Injury of muscle and tendon at shoulder and upper arm level	http://www.ebi.ac.uk/efo/EFO_1001178	Injury of muscle and tendon at shoulder and upper arm level	Zooma API lookup	match	
Injury of muscle and tendon at wrist and hand level					
Injury of nerves at ankle and foot level	http://www.ebi.ac.uk/efo/EFO_0009615	ankle fracture	OLS API EFO lookup	fuzzy	check if valid
Injury of nerves at forearm level	http://www.ebi.ac.uk/efo/EFO_0004143	Injury of nerves at forearm level	Zooma API lookup	match	
Injury of nerves at lower leg level					
Injury of nerves at shoulder and upper arm level					
Injury of nerves and spinal cord at neck level	http://www.ebi.ac.uk/efo/EFO_0009490	nervous system injury	OLS API EFO lookup	fuzzy	check if valid
Injury of nerves at wrist and hand level	http://www.ebi.ac.uk/efo/EFO_0004143	Injury of nerves at wrist and hand level	Zooma API lookup	match	
Injury of other and unspecified intrathoracic organs	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Injury of unspecified body region					
Injury of urinary and pelvic organs					
Intracranial trauma	http://www.ebi.ac.uk/efo/EFO_1000993	intracranial hypotension	OLS API EFO lookup	fuzzy	check if valid
Intracranial injury	http://www.ebi.ac.uk/efo/EFO_0009505	Intracranial injury	Zooma API lookup	match	
Maltreatment syndromes	http://www.orpha.net/ORDO/Orphanet_590	Congenital myasthenic syndromes	OLS API EFO lookup	fuzzy	check if valid
Open wound of abdomen, lower back and pelvis	http://www.ebi.ac.uk/efo/EFO_0009502	"""Open wound of abdomen, lower back and pelvis"""	Zooma API lookup	match	
Open wound of ankle and foot	http://www.ebi.ac.uk/efo/EFO_1002021	Open wound of ankle and foot	Zooma API lookup	match	
Open wound of forearm	http://www.ebi.ac.uk/efo/EFO_0005756	Open wound of forearm	Zooma API lookup	match	
Open wound of head	http://www.ebi.ac.uk/efo/EFO_0009505	Open wound of head	Zooma API lookup	match	
Open wound of hip and thigh	http://www.ebi.ac.uk/efo/EFO_0009508	Open wound of hip and thigh	Zooma API lookup	match	
Open wound of lower leg	http://www.ebi.ac.uk/efo/EFO_0009508	Open wound of lower leg	Zooma API lookup	match	
Open wound of neck					
Open wound of shoulder and upper arm					
Open wound of thorax					
Open wound of wrist and hand	http://www.ebi.ac.uk/efo/EFO_0005756	Open wound of wrist and hand	Zooma API lookup	match	
Other complications of surgical and medical care, not elsewhere classified					
Other injuries of upper limb, level unspecified	http://www.ebi.ac.uk/efo/EFO_0009509	Other injuries of upper limb level unspecified	Zooma API lookup	match	
Other and specified injuries of hip and thigh	http://www.ebi.ac.uk/efo/EFO_0009508	Other and specified injuries of hip and thigh	Zooma API lookup	match	
Other and unspecified effects of external causes	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified injuries of abdomen, lower back and pelvis	http://www.ebi.ac.uk/efo/EFO_0009502	"""Other and unspecified injuries of abdomen, lower back and pelvis"""	Zooma API lookup	match	
Other and unspecified injuries of ankle and foot					
Other and unspecified injuries of head	http://www.ebi.ac.uk/efo/EFO_0009505	Other and unspecified injuries of head	Zooma API lookup	match	
Other and unspecified injuries of lower leg	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified injuries of neck	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified injuries of shoulder and upper arm					
Other and unspecified injuries of thorax	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Other and unspecified injuries of wrist and hand					
Poisoning by drugs, medicaments and biological substances					
Poisoning by medicine					
Poisoning by medicine, drug-induced					
Poisoning by narcotics and psychodysleptics [hallucinogens]					
Post-traumatic wound infection, not elsewhere classified					
Sequelae of injuries of head	http://www.ebi.ac.uk/efo/EFO_0009505	Sequelae of injuries of head	Zooma API lookup	match	
Sequelae of injuries of lower limb	http://www.ebi.ac.uk/efo/EFO_0009508	Sequelae of injuries of lower limb	Zooma API lookup	match	
Sequelae of injuries of neck and trunk	http://www.ebi.ac.uk/efo/EFO_0000389	cutaneous melanoma	OLS API EFO lookup	fuzzy	check if valid
Sequelae of injuries, of poisoning and of other consequences of external causes					
Sequelae of injuries of upper limb	http://www.ebi.ac.uk/efo/EFO_0009509	Sequelae of injuries of upper limb	Zooma API lookup	match	
Superficial frostbite	http://www.ebi.ac.uk/efo/EFO_0009527	frostbite	OLS API EFO lookup	fuzzy	check if valid
Superficial injuries involving multiple body regions	http://www.ebi.ac.uk/efo/EFO_0009513	multiple bone fractures	OLS API EFO lookup	fuzzy	check if valid
Superficial injury of abdomen, lower back and pelvis	http://www.ebi.ac.uk/efo/EFO_0009502	Superficial injury of abdomen lower back and pelvis	Zooma API lookup	match	
Superficial injury of ankle and foot	http://www.ebi.ac.uk/efo/EFO_0009615	ankle fracture	OLS API EFO lookup	fuzzy	check if valid
Superficial injury of forearm					
Superficial injury of head	http://www.ebi.ac.uk/efo/EFO_0009505	Superficial injury of head	Zooma API lookup	match	
Superficial injury of hip and thigh					
Superficial injury of lower leg	http://www.ebi.ac.uk/efo/EFO_0009508	Superficial injury of lower leg	Zooma API lookup	match	
Superficial injury of neck	http://www.ebi.ac.uk/efo/EFO_0009476	neck injury	OLS API EFO lookup	fuzzy	check if valid
Superficial injury of shoulder and upper arm					
Superficial injury of thorax					
Superficial injury of wrist and hand	http://purl.obolibrary.org/obo/HP_0009487	Ulnar deviation of the hand	OLS API EFO lookup	fuzzy	check if valid
Toxic effect of alcohol	http://www.ebi.ac.uk/efo/EFO_1001518	heavy metal poisoning	OLS API EFO lookup	fuzzy	check if valid
Toxic effect of carbon monoxide	http://www.ebi.ac.uk/efo/EFO_0006520	carbon monoxide exhalation measurement	OLS API EFO lookup	fuzzy	check if valid
Toxic effect of contact with venomous animals	http://www.ebi.ac.uk/efo/EFO_1001518	heavy metal poisoning	OLS API EFO lookup	fuzzy	check if valid
Toxic effect of ethanol					
Toxic effect of other gases, fumes and vapours	http://www.ebi.ac.uk/efo/EFO_0009574	Toxic effect of other gases fumes and vapours	Zooma API lookup	match	
Toxic effect of other and unspecified substances	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Toxic effects of substances chiefly nonmedicinal as to source	http://www.ebi.ac.uk/efo/EFO_0005595	toxic encephalopathy	OLS API EFO lookup	fuzzy	check if valid
Traumatic amputation of wrist and hand	http://www.orpha.net/ORDO/Orphanet_294979	Congenital absence of both forearm and hand	OLS API EFO lookup	fuzzy	check if valid
Traumatic ischaemia of muscle	http://www.ebi.ac.uk/efo/EFO_1001861	traumatic diaphragmatic hernia	OLS API EFO lookup	fuzzy	check if valid
Traumatic subarachnoid haemorrhage	http://www.ebi.ac.uk/efo/EFO_0000713	subarachnoid hemorrhage	OLS API EFO lookup	fuzzy	check if valid
Traumatic subdural haemorrhage	http://purl.obolibrary.org/obo/HP_0100309	Subdural hemorrhage	OLS API EFO lookup	fuzzy	check if valid
Adult-onset Still disease	http://www.ebi.ac.uk/efo/EFO_0007135	adult-onset Still's disease	OLS API EFO lookup	match	
Systemic sclerosis,strict definition	http://www.ebi.ac.uk/efo/EFO_0000717	systemic scleroderma	OLS API EFO lookup	fuzzy	check if valid
Type1 diabetes, definitions combined	http://www.ebi.ac.uk/efo/EFO_0007346	lipoatrophic diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes, strict definition	http://www.ebi.ac.uk/efo/EFO_0009756	autoimmune type 1 diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes, strict definition, subgroup 1	http://www.ebi.ac.uk/efo/EFO_0009756	autoimmune type 1 diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes, strict definition, subgroup 2	http://www.ebi.ac.uk/efo/EFO_0004997	type 2 diabetes nephropathy	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes, wide definition	http://www.ebi.ac.uk/efo/EFO_0009756	autoimmune type 1 diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes, wide definition, subgroup 1	http://www.ebi.ac.uk/efo/EFO_0009756	autoimmune type 1 diabetes	OLS API EFO lookup	fuzzy	check if valid
Type 1 diabetes, wide definition, subgroup 2	http://www.ebi.ac.uk/efo/EFO_0004997	type 2 diabetes nephropathy	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes, definitions combined	http://www.ebi.ac.uk/efo/EFO_0004997	type 2 diabetes nephropathy	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes, definitions combined, including avohilmo	http://www.ebi.ac.uk/efo/EFO_0004997	type 2 diabetes nephropathy	OLS API EFO lookup	fuzzy	check if valid
Type 2 diabetes, wide definition	http://www.ebi.ac.uk/efo/EFO_0004997	type 2 diabetes nephropathy	OLS API EFO lookup	fuzzy	check if valid
Respiratory tuberculosis	http://www.orpha.net/ORDO/Orphanet_3389	Tuberculosis	OLS API EFO lookup	fuzzy	check if valid
Temporomandibular joint disorders	http://www.ebi.ac.uk/efo/EFO_0005279	Temporomandibular joint disorder	Zooma API lookup	match	
Essential (haemorrhagic) thrombocythaemia	http://www.ebi.ac.uk/efo/EFO_0000479	essential thrombocythemia	OLS API EFO lookup	fuzzy	check if valid
Thyroiditis	http://purl.obolibrary.org/obo/MONDO_0004126	thyroiditis (disease)	EFO OBO	match	
Disorders of thyroid, IBD co-morbidities	http://www.ebi.ac.uk/efo/EFO_1000627	thyroid disease	OLS API EFO lookup	fuzzy	check if valid
Thyrotoxicosis	http://www.ebi.ac.uk/efo/EFO_0009190	Thyrotoxicosis	EFO OBO	match	
Tongue abnormality	http://purl.obolibrary.org/obo/HP_0000157	Abnormality of the tongue	OLS API EFO lookup	match	
severe traumatic brain injury, does not include concussion	http://www.ebi.ac.uk/efo/EFO_0011023	concussion	OLS API EFO lookup	fuzzy	check if valid
Ulcerative enterocolitis	http://www.ebi.ac.uk/efo/EFO_1001481	enterocolitis	OLS API EFO lookup	fuzzy	check if valid
Ulcerative ileocolitis	http://www.ebi.ac.uk/efo/EFO_0005624	ileocolitis	OLS API EFO lookup	fuzzy	check if valid
Ulcerative colitis, NAS	http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	OLS API EFO lookup	fuzzy	check if valid
Other ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	OLS API EFO lookup	match	
Ulcerative proctitis	http://www.ebi.ac.uk/efo/EFO_0005628	proctitis	OLS API EFO lookup	fuzzy	check if valid
Ulcerative rectosigmoiditis	http://www.ebi.ac.uk/efo/EFO_1001223	ulcerative proctosigmoiditis	OLS API EFO lookup	fuzzy	check if valid
Arthropathy in ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_1000226	Dysplasia in Ulcerative Colitis	OLS API EFO lookup	fuzzy	check if valid
Vascular dementia (multiple infarctations)	http://www.ebi.ac.uk/efo/EFO_0004718	vascular dementia	OLS API EFO lookup	fuzzy	check if valid
Vascular dementia (mixed)	http://www.ebi.ac.uk/efo/EFO_0004718	vascular dementia	OLS API EFO lookup	fuzzy	check if valid
Vascular dementia (subcortical)	http://www.ebi.ac.uk/efo/EFO_0004718	vascular dementia	OLS API EFO lookup	fuzzy	check if valid
Vascular dementia (undefined)	http://www.ebi.ac.uk/efo/EFO_0004718	vascular dementia	OLS API EFO lookup	fuzzy	check if valid
Viral pneumonia (known virus, not influenza)	http://www.ebi.ac.uk/efo/EFO_0007541	viral pneumonia	OLS API EFO lookup	fuzzy	check if valid
Viral pneumonia (unknown virus, not influenza)	http://www.ebi.ac.uk/efo/EFO_0007541	viral pneumonia	OLS API EFO lookup	fuzzy	check if valid
Vocal cord dysfunction	http://purl.obolibrary.org/obo/HP_0031801	Vocal cord dysfunction	OLS API EFO lookup	match	
